Variable Name,Variable Code,Source1 Name,Data Location/Table Source1,Website (if applicable) Source1,Access Date Source1,Source2 Name,Data Location/Table Source2,Website (if applicable) Source2,Access Date Source2,Source3 Name,Data Location/Table Source3,Website (if applicable) Source3,Access Date Source3,Source4 Name,Data Location/Table Source4,Website (if applicable) Source4,Access Date Source4,Source5 Name,Data Location/Table Source5,Website (if applicable) Source5,Access Date Source5,Source6 Name,Data Location/Table Source6,Website (if applicable) Source6,Access Date Source6,Source7 Name,Data Location/Table Source7,Website (if applicable) Source7,Access Date Source7,Source8 Name,Data Location/Table Source8,Website (if applicable) Source8,Access Date Source8
"Gasoline tax rate per gallon in dollars, including sales, excise, and franchise taxes",fgastax1,Tax Foundation,"State Sales, Gasoline, Cigarette, and Alcohol Taxes (note: gas taxes as of April in year following that coded herein)",http://taxfoundation.org/taxdata/show/245.html,1/20/2010,Tax Foundation,"State Gasoline Tax Rates, As of January 1, 2011",http://www.taxfoundation.org/taxdata/show/26079.html,1/22/2012,Tax Foundation,"State Gasoline Tax Rates, 2009-2013",http://taxfoundation.org/article/state-gasoline-tax-rates-2009-2013,12/30/2014,American Petroleum Institute,Gasoline Tax,http://www.api.org/oil-and-natural-gas-overview/industry-economics/fuel-taxes/gasoline-tax,12/30/2014,,,,,,,,,,,,,,,,
"Consumer Price Index, All Items, Annual",ccpi,see c_drugs_15.xls,see c_drugs_15.xls,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,,,,,
fgastax1*201.6 [2006 value]/tcpi,fgastax,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,
"Active cap on greenhouse gas emissions from electric power producers? (1=yes, 0=no) (note: setting a goal or initiating a process doesn't count - only actual regulations in force)",fcap,Regional Greenhouse Gas Initiative,Participating States,http://www.rggi.org/states,1/18/2010,Stateline.org,2008 state by state summary,http://www.stateline.org/live/details/story?contentId=322840,1/18/2010,"Erica Martinson, ""Cap and Trade Lives on Through the States,"" Politico (May 27, 2014)",,http://www.politico.com/story/2014/05/cap-and-trade-states-107135.html,12/30/2014,,,,,,,,,,,,,,,,,,,,
Wharton Residential Land Use Regulatory Index,fwrluri,"Joseph Gyourko, Albert Saiz, and Anita Summers (2008), ""A New Measure of the Local Regulatory Environment for Housing Markets: The Wharton Residential Land Use Regulatory Index,"" Urban Studies 45 (3): 693-729.",p. 711,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Local rent control laws exist? (1=yes, 0=no)",frent,National Multi Housing Council,Rent Control Laws by State,http://nmhc.org/Content/ContentList.cfm?NavID=395,4/6/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mandated free speech on private property? (3=malls, universities, & neighborhood associations, 2=malls & neighborhood associations or malls & universities, 1=malls or universities, 0.5=some government connection required/signature gathering only, 0=none)",fspeech,"Eugene Volokh, ""State Constitutional Free Speech vis-à-vis Private Landowners,"" Volokh.com, June 13, 2012.",.,http://www.volokh.com/2012/06/13/state-constitutional-free-speech-vis-a-vis-private-landowners/,6/14/2012,Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,
"state cost of living, 2007 vintage",fcpi,"Berry, W.D., Fording, R.C., Hanson, R.L., 2000. An annual cost of living index for the american states, 1960-1995. Journal of Politics 62, 550–567.",,,,2007 update,,http://mailer.fsu.edu/~wberry/garnet-wberry/statecpi2007.zip,1/10/2013,,,,,,,,,,,,,,,,,,,,,,,,
"state implicit price deflator, index year 2008",fipd,Bureau of Economic Analysis,Implicit regional price deflator (IRPD1),http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=6#,1/2/2015,"Bettina H. Aten, Eric B. Figueroa, and Troy M. Martin (2013), ""Real Personal Income and Regional Price Parities for States and Metropolitan Areas, 2007–2011,"" Survey of Current Business (August): 89-103.",RPP's from Table 4 used to calculate IRPD's for 2007,,,Bureau of Economic Analysis,"Table 2.4.4. Price Indexes for Personal Consumption Expenditures by Type of Product--Personal consumption expenditures--2007, 2008",http://www.bea.gov/iTable/iTable.cfm?ReqID=9&step=1#reqid=9&step=3&isuri=1&903=69,1/2/2015,,,,,,,,,,,,,,,,,,,,
state price parities,fpp,Bureau of Economic Analysis,Regional price parities (RPP1),http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=6#,7/8/2015,"Bettina H. Aten, Eric B. Figueroa, and Troy M. Martin (2013), ""Real Personal Income and Regional Price Parities for States and Metropolitan Areas, 2007–2011,"" Survey of Current Business (August): 89-103.","Table 4, pg. 103",,,,,,,,,,,,,,,,,,,,,,,,,,
"enacted eminent domain reform through legislation or initiative, or court decision putting strict limits on ""public use"" (=1 if yes, 0 if no, including judicial action)",freform,Castle Coalition,50 State Report Card: Tracking Eminent Domain Reform Legislation Since Kelo,http://castlecoalition.org/index.php?option=com_content&task=view&id=57&Itemid=113,2/15/2010,"Elizabeth F. Gallagher (2005), ""Breaking New Ground: Using Eminent Domain for Economic Development,"" 73 Fordham L. Rev. 1837 2004-2005.",,,,"Castle Coalition, 50 State Report Card",,http://castlecoalition.org/50-state-report-card,7/19/2017,,,,,,,,,,,,,,,,,,,,
"private property (=1 if prohibits private property taking for any private use, regardless of alleged public benefit, =0.5 if prohibits only some private-to-private transfers, =0 if no effective restrictions on this type of eminent domain use)",fprivate,Castle Coalition,50 State Report Card: Tracking Eminent Domain Reform Legislation Since Kelo,http://castlecoalition.org/index.php?option=com_content&task=view&id=57&Itemid=113,2/15/2010,"Elizabeth F. Gallagher (2005), ""Breaking New Ground: Using Eminent Domain for Economic Development,"" 73 Fordham L. Rev. 1837 2004-2005.",,,,"Ilya Somin (2013), ""Interesting Missouri Supreme Court Decision Interpreting the State’s Post-Kelo Eminent Domain Reform Law,"" Volokh Conspiracy",,http://volokh.com/2013/05/28/interesting-missouri-supreme-court-decision-interpreting-the-states-post-kelo-eminent-domain-reform-law/,12/31/2014,"Castle Coalition, 50 State Report Card",,http://castlecoalition.org/50-state-report-card,7/19/2017,,,,,,,,,,,,,,,,
"blight (=1 if implemented stricter definition either explicitly or implicitly, =0.5 if retained vague definition but required higher standard of proof, =0 if otherwise)",fblight,Castle Coalition,50 State Report Card: Tracking Eminent Domain Reform Legislation Since Kelo,http://castlecoalition.org/index.php?option=com_content&task=view&id=57&Itemid=113,2/15/2010,"Elizabeth F. Gallagher (2005), ""Breaking New Ground: Using Eminent Domain for Economic Development,"" 73 Fordham L. Rev. 1837 2004-2005.",,,,"Castle Coalition, 50 State Report Card",,http://castlecoalition.org/50-state-report-card,7/19/2017,,,,,,,,,,,,,,,,,,,,
"Constitution enshrines all additional restrictions on eminent domain (=1 if yes,=0 if no, =0.5 if only some restrictions on ED have been codified constitutionally)",fconst,Castle Coalition,50 State Report Card: Tracking Eminent Domain Reform Legislation Since Kelo,http://castlecoalition.org/index.php?option=com_content&task=view&id=57&Itemid=113,2/15/2010,"Elizabeth F. Gallagher (2005), ""Breaking New Ground: Using Eminent Domain for Economic Development,"" 73 Fordham L. Rev. 1837 2004-2005.",,,,"Castle Coalition, 50 State Report Card",,http://castlecoalition.org/50-state-report-card,7/19/2017,,,,,,,,,,,,,,,,,,,,
Eminent domain reform index ((freform+fprivate+fblight)*(1+(0.5*fconst))),findex,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mandatory renewable portfolio standard for electric utilities: if yes, minimum percentage of retail sales for which required; if no, zero (halved if applies only to investor-owned utilities, or averaged among standards for all types of utilities)",frenew,Database of State Incentives for Renewables & Efficiency,"State pages, ""Renewable Portfolio Standard"" entries",http://www.dsireusa.org/,12/31/2014; 7/19/17,"Center for American Progress (2009), ""A Renewable Energy Standard: The Proof is in the States""",,https://www.americanprogress.org/issues/green/news/2009/05/19/6027/a-renewable-energy-standard-the-proof-is-in-the-states/,12/31/2014,State public utility commission websites,,,,,,,,,,,,,,,,,,,,,,,
"Renewable portfolio standard exceptions (1.5=large hydropower excluded, 0.5=natural gas or nuclear included, 1=otherwise)",frpsexc,Database of State Incentives for Renewables & Efficiency,"State pages, ""Renewable Portfolio Standard"" entries",http://www.dsireusa.org/,12/31/2014; 7/19/17,"Center for American Progress (2009), ""A Renewable Energy Standard: The Proof is in the States""",,https://www.americanprogress.org/issues/green/news/2009/05/19/6027/a-renewable-energy-standard-the-proof-is-in-the-states/,12/31/2014,State public utility commission websites,,,,,,,,,,,,,,,,,,,,,,,
Renewable portfolio standard index (frenew*frpsexc),frps,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State appellate decisions containing phrase ""land use,"" cumulative from 1/1/1920",flandum,Westlaw searches by state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population estimate,apop,See a_fiscal*.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court land use decisions index: flandum/apop*1000000,flandu,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook Partisan Voter Index by State (+D, used for imputing land-use regulation, linearly interpolated between elections)",fpvi,Cook Political Report,"Partisan Voter Index by State, 1994-2014",http://cookpolitical.com/file/filename.pdf,1/6/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accommodation GDP divided by all GDP in *previous* year (for imputation of land-use regulation),faccom,Bureau of Economic Analysis,Real GDP by state (millions of chained 2009 dollars)--Accommodation line divided by All industry total line,"http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=1#reqid=70&step=10&isuri=1&7003=900&7035=-1&7004=naics&7005=1,79&7006=xx&7036=-1&7001=1900&7002=1&7090=70&7007=2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999&7093=levels",1/6/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective number of competing jurisdictions per 100 sq mi,acjarea,See a_fiscal*.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model-derived extension of fwrluri (based on regression results of fwrluri on various predictors),fwrlurim,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Law bans employers from banning guns on certain company property, such as parking lots? (1=yes, 0=no)",fguns,Workforce,,http://www.workforce.com/articles/texas-gun-law-adds-new-level-of-vigilance-for-employers,9/22/2015,"Neil D Perry, Employer Firearm Policies",,http://www.mondaq.com/unitedstates/x/63822/Employer+Firearm+Policies+Parking+Lots+State+Laws+OSHA+And+The+Second+Amendment,9/22/2015,Various news articles,,,,Law Center to Prevent Gun Violence,Guns in Parking Areas,http://smartgunlaws.org/guns-in-parking-areas/,7/19/2017,,,,,,,,,,,,,,,,
